scenario,dataset,model,attack,attack_mode,partition,intensity,clean_accuracy_mean,clean_accuracy_std,clean_accuracy_min,clean_accuracy_max,attacked_accuracy_mean,attacked_accuracy_std,attacked_accuracy_min,attacked_accuracy_max,accuracy_drop_pp_mean,accuracy_drop_pp_std,accuracy_drop_pp_min,accuracy_drop_pp_max,attack_success_rate_mean,attack_success_rate_std,attack_success_rate_min,attack_success_rate_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,positive_recall_mean,positive_recall_std,positive_recall_min,positive_recall_max,f1_mean,f1_std,f1_min,f1_max,n,seeds
s1,breast_cancer,logistic_regression,inversion,zeroth_order,-,2000.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,0.705368,0.032843,0.654139,0.740012,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,membership,confidence_threshold,-,0.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,,,,,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,membership,confidence_threshold,-,2.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,0.506250,0.022894,0.477679,0.535714,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,membership,confidence_threshold,-,5.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,0.511927,0.022142,0.495413,0.545872,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,membership,confidence_threshold,-,10.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,0.522115,0.015800,0.500000,0.543269,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,membership,confidence_threshold,-,20.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,0.512766,0.021475,0.484043,0.542553,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,poisoning,symmetric,-,0.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,,,,,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,poisoning,symmetric,-,0.050000,0.970175,0.020195,0.938596,0.991228,0.950877,0.018190,0.929825,0.973684,1.929825,1.901709,-0.877193,4.385965,,,,,0.942262,0.019370,0.924603,0.964286,0.909524,0.035315,0.857143,0.952381,0.931769,0.024811,0.904762,0.962963,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,poisoning,symmetric,-,0.100000,0.970175,0.020195,0.938596,0.991228,0.949123,0.019017,0.921053,0.964912,2.105263,0.784585,0.877193,2.631579,,,,,0.936905,0.027677,0.892857,0.957341,0.890476,0.062088,0.785714,0.928571,0.927156,0.030516,0.880000,0.951220,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,poisoning,symmetric,-,0.200000,0.970175,0.020195,0.938596,0.991228,0.929825,0.029093,0.903509,0.964912,4.035088,2.815229,1.754386,7.894737,,,,,0.919643,0.029161,0.893849,0.952381,0.880952,0.037646,0.833333,0.928571,0.902779,0.039241,0.867470,0.950000,5,"0,1,2,3,4"
